15:35:14, 24.09.2023;False;plosna;0;0;0;0;0
15:35:41, 24.09.2023;True;plosna;4898;1028580.0;2;1;50
15:44:53, 24.09.2023;True;plosna;2587;12.32;1;50
15:49:11, 24.09.2023;False;plosna;0;0.00;0;0
15:51:31, 24.09.2023;True;plosna;106;3.16;1;1
15:54:53, 24.09.2023;True;plosna;106;3.16;1;1
15:59:23, 24.09.2023;True;plosna;106;3.16;1.0;1
16:00:35, 24.09.2023;True;plosna;3;0.09;1.0;1
16:01:29, 24.09.2023;True;plosna;3;0.09;1.0;1
16:03:00, 24.09.2023;True;plosna;18;0.10;1.0;1
16:10:46, 24.09.2023;True;plosna;18;0.10;1.0;1
16:13:00, 24.09.2023;True;plosna;6;0.03;1.0;1
16:23:00, 24.09.2023;True;plosna;4;0.02;1.0;1
16:24:51, 24.09.2023;True;plosna;2;0.01;1.0;1
16:27:51, 24.09.2023;False;plosna;0;0.00;0;0
16:28:22, 24.09.2023;True;plosna;61;0.24;1.0;1
16:33:00, 24.09.2023;True;plosna;87;0.34;1.0;1
16:43:00, 24.09.2023;True;plosna;70;0.27;1.0;1
16:53:00, 24.09.2023;True;plosna;3;0.01;1.0;1
17:03:00, 24.09.2023;True;plosna;4;0.02;1.0;1
17:13:00, 24.09.2023;True;plosna;4;0.02;1.0;1
17:23:00, 24.09.2023;True;plosna;3;0.01;1.0;1
17:33:00, 24.09.2023;True;plosna;6;0.02;3.1666666666666665;14
17:43:00, 24.09.2023;True;plosna;1;0.00;1.0;1
17:53:00, 24.09.2023;True;plosna;1;0.00;1.0;1
18:03:00, 24.09.2023;False;plosna;0;0.00;0;0
18:13:00, 24.09.2023;True;plosna;2;0.01;1.0;1
18:23:00, 24.09.2023;True;plosna;1;0.00;1.0;1
18:33:00, 24.09.2023;False;plosna;0;0.00;0;0
18:43:00, 24.09.2023;False;plosna;0;0.00;0;0
18:53:00, 24.09.2023;False;plosna;0;0.00;0;0
19:03:00, 24.09.2023;True;plosna;1;0.00;1.0;1
19:07:01, 24.09.2023;True;plosna;1;0.00;1.0;1
